a,sigma,r0,T,swap_length,K,price,vega,volga,delta,gamma
1.985738,0.233634,0.041072,4.258048,2,0.039170,0.02137603,0.08176341,0.00242654,-0.01071689,0.00537291
1.221860,0.088890,0.001852,2.812256,2,0.001735,0.01697389,0.18945973,-0.00088068,-0.00163328,-0.00294417
0.453600,0.237317,0.028611,3.074812,2,0.032110,0.11127061,0.47615591,-0.04961496,-0.05743698,-0.03731869
0.446045,0.269361,0.010601,2.706276,4,0.009807,0.19566660,0.69723076,-0.16570948,-0.09123756,-0.08950589
0.872279,0.264279,0.009402,1.786519,2,0.011198,0.07064408,0.27289596,-0.00845904,0.02526788,-0.03782730
0.141572,0.045838,0.037170,4.876733,2,0.034477,0.04488492,0.91895938,-0.03603024,0.19276682,-0.31234345
0.439649,0.078607,0.028107,4.954290,3,0.032647,0.04235463,0.59708858,0.01768319,-0.01432827,-0.04095955
1.090473,0.293319,0.032316,1.685416,3,0.039520,0.05654256,0.21884312,0.00269410,0.01285066,-0.01898750
1.719972,0.102572,0.044083,3.763504,3,0.041566,0.01516409,0.09880286,0.08928616,-0.00834894,0.00459059
0.335859,0.288157,0.009949,1.893744,2,0.009073,0.16852696,0.57330692,-0.09378257,0.07628796,-0.26458216
0.598973,0.059543,0.022428,1.042071,4,0.018867,0.03404091,0.43522963,0.31204802,0.41165534,2.51299930
0.635685,0.064891,0.016680,2.927173,3,0.014244,0.03228202,0.43704212,0.05918837,0.05948656,-0.02389457
1.411726,0.272954,0.005303,5.957678,3,0.004714,0.04455503,0.15995316,-0.00174453,-0.03148110,0.02224354
0.697311,0.254804,0.027662,6.356300,2,0.023440,0.08019625,0.29876998,-0.01415618,-0.10869600,0.14718720
1.048918,0.014887,0.003743,2.249859,4,0.003310,0.00472175,0.25039920,0.56114119,0.04591136,0.23022927
1.992006,0.176774,0.019413,3.303426,4,0.018735,0.01815783,0.09314363,0.00285741,-0.00876482,0.00422833
